1.81312e-04 4.89226e+02  -4.89222e+02 0.00000e+00 
1.81833e-04 4.94870e+02  -4.94866e+02 0.00000e+00 
1.82354e-04 5.00563e+02  -5.00559e+02 0.00000e+00 
1.82875e-04 5.06306e+02  -5.06302e+02 0.00000e+00 
1.83396e-04 5.12099e+02  -5.12095e+02 0.00000e+00 
1.83917e-04 5.17941e+02  -5.17937e+02 0.00000e+00 
1.84438e-04 5.23831e+02  -5.23827e+02 0.00000e+00 
1.84959e-04 5.29772e+02  -5.29768e+02 0.00000e+00 
1.85480e-04 5.35763e+02  -5.35759e+02 0.00000e+00 
1.86000e-04 5.41806e+02  -5.41802e+02 0.00000e+00 
1.86521e-04 5.47901e+02  -5.47897e+02 0.00000e+00 
1.87042e-04 5.54046e+02  -5.54041e+02 0.00000e+00 
1.87563e-04 5.60241e+02  -5.60236e+02 0.00000e+00 
1.88084e-04 5.66487e+02  -5.66483e+02 0.00000e+00 
1.88605e-04 5.72787e+02  -5.72783e+02 0.00000e+00 
1.89126e-04 5.79141e+02  -5.79136e+02 0.00000e+00 
1.89647e-04 5.85547e+02  -5.85542e+02 0.00000e+00 
1.90168e-04 5.92005e+02  -5.92001e+02 0.00000e+00 
1.90689e-04 5.98516e+02  -5.98511e+02 0.00000e+00 
1.91210e-04 6.05079e+02  -6.05075e+02 0.00000e+00 
1.91731e-04 6.11697e+02  -6.11693e+02 0.00000e+00 
1.92252e-04 6.18371e+02  -6.18366e+02 0.00000e+00 
1.92773e-04 6.25099e+02  -6.25095e+02 0.00000e+00 
1.93294e-04 6.31882e+02  -6.31877e+02 0.00000e+00 
1.93815e-04 6.38718e+02  -6.38713e+02 0.00000e+00 
1.94335e-04 6.45609e+02  -6.45605e+02 0.00000e+00 
1.94856e-04 6.52557e+02  -6.52552e+02 0.00000e+00 
1.95377e-04 6.59561e+02  -6.59556e+02 0.00000e+00 
1.95898e-04 6.66622e+02  -6.66617e+02 0.00000e+00 
1.96419e-04 6.73739e+02  -6.73734e+02 0.00000e+00 
1.96940e-04 6.80911e+02  -6.80906e+02 0.00000e+00 
1.97461e-04 6.88141e+02  -6.88136e+02 0.00000e+00 
1.97982e-04 6.95429e+02  -6.95424e+02 0.00000e+00 
1.98503e-04 7.02776e+02  -7.02771e+02 0.00000e+00 
1.99024e-04 7.10180e+02  -7.10175e+02 0.00000e+00 
1.99545e-04 7.17641e+02  -7.17636e+02 0.00000e+00 
2.00066e-04 7.25160e+02  -7.25155e+02 0.00000e+00 
2.00587e-04 7.32739e+02  -7.32734e+02 0.00000e+00 
2.01108e-04 7.40379e+02  -7.40374e+02 0.00000e+00 
2.01628e-04 7.48079e+02  -7.48074e+02 0.00000e+00 
2.02149e-04 7.55838e+02  -7.55832e+02 0.00000e+00 
2.02670e-04 7.63654e+02  -7.63649e+02 0.00000e+00 
2.03191e-04 7.71531e+02  -7.71526e+02 0.00000e+00 
2.03712e-04 7.79470e+02  -7.79465e+02 0.00000e+00 
2.04233e-04 7.87473e+02  -7.87468e+02 0.00000e+00 
2.04754e-04 7.95537e+02  -7.95531e+02 0.00000e+00 
2.05275e-04 8.03660e+02  -8.03655e+02 0.00000e+00 
2.05796e-04 8.11845e+02  -8.11840e+02 0.00000e+00 
2.06317e-04 8.20091e+02  -8.20086e+02 0.00000e+00 
2.06838e-04 8.28402e+02  -8.28397e+02 0.00000e+00 
2.07359e-04 8.36778e+02  -8.36772e+02 0.00000e+00 
2.07879e-04 8.45216e+02  -8.45210e+02 0.00000e+00 
2.08400e-04 8.53716e+02  -8.53711e+02 0.00000e+00 
2.08921e-04 8.62280e+02  -8.62274e+02 0.00000e+00 
2.09442e-04 8.70908e+02  -8.70903e+02 0.00000e+00 
2.09963e-04 8.79602e+02  -8.79597e+02 0.00000e+00 
2.10484e-04 8.88362e+02  -8.88356e+02 0.00000e+00 
2.11005e-04 8.97185e+02  -8.97180e+02 0.00000e+00 
2.11526e-04 9.06074e+02  -9.06068e+02 0.00000e+00 
2.12047e-04 9.15028e+02  -9.15022e+02 0.00000e+00 
2.12568e-04 9.24049e+02  -9.24044e+02 0.00000e+00 
2.13089e-04 9.33138e+02  -9.33132e+02 0.00000e+00 
2.13610e-04 9.42294e+02  -9.42288e+02 0.00000e+00 
2.14131e-04 9.51515e+02  -9.51510e+02 0.00000e+00 
